"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 15 17:01:25 UTC 2023","Wed Mar 15 17:03:28 UTC 2023","122794","chromium","8669k1cpq.spec.js","Payment Method Saved to QPilot (Existing)","","","Test case 8669k1cpq @smoke @asACustomer",""
"passed","Wed Mar 15 17:03:28 UTC 2023","Wed Mar 15 17:04:10 UTC 2023","42785","chromium","8669k1gw8.spec.js","Payment Method deletes in QPilot (Existing)","","","Test case 8669k1gw8 @smoke @asACustomer",""
"passed","Wed Mar 15 17:04:10 UTC 2023","Wed Mar 15 17:05:02 UTC 2023","51397","chromium","8669k1h33.spec.js","Payment Method Saved to QPilot (Existing)","","","Test case 8669k1h33 @smoke @asACustomer",""
